taxon_name_w_authors,v10_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
Schoenoplectus mucronatus subsp. robustus (Miq.) T.Koyama,Schoenoplectiella triangulata (Roxb.) J.Jung & H.K.Choi,Schoenoplectiella triangulata (Roxb.) J.Jung & H.K.Choi,Schoenoplectiella triangulata (Roxb.) J.Jung & H.K.Choi,Schoenoplectiella triangulata,Schoenoplectiella triangulata var. triangulata,Schoenoplectiella triangulata
Schoenoplectus mucronatus var. sanguineus (Tang & F.T.Wang) P.C.Li,Schoenoplectiella triangulata (Roxb.) J.Jung & H.K.Choi,Schoenoplectiella triangulata (Roxb.) J.Jung & H.K.Choi,Schoenoplectiella triangulata (Roxb.) J.Jung & H.K.Choi,Schoenoplectiella triangulata,Schoenoplectiella triangulata var. triangulata,Schoenoplectiella triangulata
Oribasia paniculata (Aubl.) J.F.Gmel.,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata,Palicourea aubletii Delprete & J.H.Kirkbr.,Palicourea aubletii
Psychotria flexuosa Willd.,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata,Palicourea aubletii Delprete & J.H.Kirkbr.,Palicourea aubletii
Palicourea aubletii Delprete & J.H.Kirkbr.,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata,Palicourea aubletii Delprete & J.H.Kirkbr.,Palicourea aubletii
Psychotria paniculata (Aubl.) Forsyth f.,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata (L.f.) P.L.R.Moraes & C.M.Taylor,Palicourea paniculata,Palicourea aubletii Delprete & J.H.Kirkbr.,Palicourea aubletii
Deschampsia alpina (L.) Roem. & Schult.,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa,"Deschampsia cespitosa subsp. neoalpina Chiapella, Z.Q.Xue & Greimler",Deschampsia cespitosa
Aira alpina var. vivipara (Steud.) Lange,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa,"Deschampsia cespitosa subsp. neoalpina Chiapella, Z.Q.Xue & Greimler",Deschampsia cespitosa
Erioblastus flexuosus Honda ex Nakai,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa,"Deschampsia cespitosa subsp. neoalpina Chiapella, Z.Q.Xue & Greimler",Deschampsia cespitosa
Aira cespitosa subsp. alpina (L.) Hook.f.,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa,"Deschampsia cespitosa subsp. neoalpina Chiapella, Z.Q.Xue & Greimler",Deschampsia cespitosa
Aira major subsp. alpina (L.) Syme,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa subsp. cespitosa,Deschampsia cespitosa,"Deschampsia cespitosa subsp. neoalpina Chiapella, Z.Q.Xue & Greimler",Deschampsia cespitosa
Microlaena avenacea var. carsei (Cheeseman) Zotov,Ehrharta diplax var. diplax,Ehrharta diplax var. diplax,Ehrharta diplax var. diplax,Ehrharta diplax,Microlaena carsei Cheeseman,Microlaena carsei
Quamoclit × sloteri (Macfarl. ex E.T.Reichert) House,Ipomoea × multifida (Raf.) Shinners,Ipomoea × multifida (Raf.) Shinners,Ipomoea × multifida (Raf.) Shinners,Ipomoea × multifida,Ipomoea sloteri Macfarl. ex E.T.Reichert,Ipomoea sloteri
Epithymum arvense (Beyr. ex Engelm.) Nieuwl. & Lunell,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Cuscuta campestris Yunck.,Cuscuta campestris,Cuscuta pentagona Engelm.,Cuscuta pentagona
Goeppertia polytricha (Baker) Saka,Goeppertia sciuroides (Petersen) Borchs. & S.Suárez,Goeppertia sciuroides (Petersen) Borchs. & S.Suárez,Goeppertia sciuroides (Petersen) Borchs. & S.Suárez,Goeppertia sciuroides,Goeppertia polytricha (Baker) Saka,Goeppertia polytricha
Vincetoxicum streptolobum (E.Fourn.) Kuntze,Orthosia congesta (Vell.) Decne.,Orthosia congesta (Vell.) Decne.,Orthosia congesta (Vell.) Decne.,Orthosia congesta,Orthosia congesta subsp. congesta,Orthosia congesta
Cynanchum medium K.Schum.,Vincetoxicum funebre Boiss. & Kotschy,Vincetoxicum funebre Boiss. & Kotschy,Vincetoxicum funebre Boiss. & Kotschy,Vincetoxicum funebre,Vincetoxicum fuscatum (Hornem.) Endl.,Vincetoxicum fuscatum
Antitoxicum medium Pobed.,Vincetoxicum funebre Boiss. & Kotschy,Vincetoxicum funebre Boiss. & Kotschy,Vincetoxicum funebre Boiss. & Kotschy,Vincetoxicum funebre,Vincetoxicum fuscatum (Hornem.) Endl.,Vincetoxicum fuscatum
Hypericum perfoliatum var. heldreichii (Boiss.) Halácsy,Hypericum perfoliatum L.,Hypericum perfoliatum L.,Hypericum perfoliatum L.,Hypericum perfoliatum,Hypericum perfoliatum subsp. perfoliatum,Hypericum perfoliatum
Hypericum perfoliatum subsp. heldreichii (Boiss.) Nyman,Hypericum perfoliatum L.,Hypericum perfoliatum L.,Hypericum perfoliatum L.,Hypericum perfoliatum,Hypericum perfoliatum subsp. perfoliatum,Hypericum perfoliatum
Hypericum ciliatum var. angustifolium Guss.,Hypericum perfoliatum L.,Hypericum perfoliatum L.,Hypericum perfoliatum L.,Hypericum perfoliatum,Hypericum perfoliatum subsp. perfoliatum,Hypericum perfoliatum
Hypericum ciliatum var. heldreichii (Boiss.) Boiss.,Hypericum perfoliatum L.,Hypericum perfoliatum L.,Hypericum perfoliatum L.,Hypericum perfoliatum,Hypericum perfoliatum subsp. perfoliatum,Hypericum perfoliatum
Pinguicula vulgaris f. albida (Behm) Neuman,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris,Pinguicula vulgaris subsp. vulgaris,Pinguicula vulgaris
Pinguicula vulgaris subsp. alpicola (Rchb.) Rouy,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris,Pinguicula vulgaris subsp. vulgaris,Pinguicula vulgaris
Pinguicula vulgaris proles alpicola (Rchb.) Rouy,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris,Pinguicula vulgaris subsp. vulgaris,Pinguicula vulgaris
Pinguicula vulgaris subsp. bicolor (Wol.) Á.Löve & D.Löve,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris,Pinguicula vulgaris f. bicolor (Nordst. ex Fr.) Neuman,Pinguicula vulgaris
Pinguicula vulgaris f. bicolor (Nordst. ex Fr.) Neuman,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris,Pinguicula vulgaris f. bicolor (Nordst. ex Fr.) Neuman,Pinguicula vulgaris
Pinguicula vulgaris subvar. sixtina (Briq.) Rouy,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris L.,Pinguicula vulgaris,Pinguicula vulgaris subsp. vulgaris,Pinguicula vulgaris
Utricularia vulgaris subsp. neglecta (Lehm.) Bonnier & Layens,Utricularia australis R.Br.,Utricularia australis R.Br.,Utricularia australis R.Br.,Utricularia australis,Utricularia × neglecta Lehm.,Utricularia × neglecta
Utricularia australis f. tenuicaulis (Miki) Komiya & C.Shibata,Utricularia australis R.Br.,Utricularia australis R.Br.,Utricularia australis R.Br.,Utricularia australis,Utricularia tenuicaulis Miki,Utricularia tenuicaulis
Utricularia vulgaris var. neglecta (Lehm.) Coss. & Germ.,Utricularia australis R.Br.,Utricularia australis R.Br.,Utricularia australis R.Br.,Utricularia australis,Utricularia × neglecta Lehm.,Utricularia × neglecta
Utricularia vulgaris f. tenuicaulis (Miki) Komiya,Utricularia australis R.Br.,Utricularia australis R.Br.,Utricularia australis R.Br.,Utricularia australis,Utricularia tenuicaulis Miki,Utricularia tenuicaulis
Utricularia vulgaris var. tenuicaulis (Miki) J.Kuo,Utricularia australis R.Br.,Utricularia australis R.Br.,Utricularia australis R.Br.,Utricularia australis,Utricularia tenuicaulis Miki,Utricularia tenuicaulis
Dichanthelium pedicellatum Gould,Dichanthelium transiens (Swallen) Sánchez-Ken,Dichanthelium transiens (Swallen) Sánchez-Ken,Dichanthelium transiens (Swallen) Sánchez-Ken,Dichanthelium transiens,Dichanthelium pedicellatum Gould,Dichanthelium pedicellatum
Myrcia mammosa (Lundell) A.R.Lourenço & Sánchez-Cháv.,Myrcia hondurensis (Standl.) A.R.Lourenço & Sánchez-Cháv.,Myrcia hondurensis (Standl.) A.R.Lourenço & Sánchez-Cháv.,Myrcia hondurensis (Standl.) A.R.Lourenço & Sánchez-Cháv.,Myrcia hondurensis,Myrcia mammosa (Lundell) A.R.Lourenço & Sánchez-Cháv.,Myrcia mammosa
Coleus primulinus (Baker) A.Chev.,Coleus densus (N.E.Br.) A.J.Paton,Coleus densus (N.E.Br.) A.J.Paton,Coleus esculentus var. densus (N.E.Br.) Meerts & A.J.Paton,Coleus esculentus,Coleus esculentus var. primulinus (Baker) Meerts & A.J.Paton,Coleus esculentus
Rohdea yunnanensis (F.T.Wang & S.Yun Liang) Yamashita & M.N.Tamura,Rohdea fargesii var. fargesii,Rohdea fargesii var. fargesii,Rohdea fargesii var. fargesii,Rohdea fargesii,Rohdea yunnanensis (F.T.Wang & S.Yun Liang) Yamashita & M.N.Tamura,Rohdea yunnanensis
"Campylandra yunnanensis (F.T.Wang & S.Yun Liang) M.N.Tamura, S.Yun Liang & Turland",Rohdea fargesii var. fargesii,Rohdea fargesii var. fargesii,Rohdea fargesii var. fargesii,Rohdea fargesii,Rohdea yunnanensis (F.T.Wang & S.Yun Liang) Yamashita & M.N.Tamura,Rohdea yunnanensis
Orchis nana (King & Pantl.) Schltr.,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua,Hemipilia nana (King & Pantl.) J.M.H.Shaw,Hemipilia nana
Ponerorchis chusua var. nana (King & Pantl.) R.C.Srivast.,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua,Hemipilia nana (King & Pantl.) J.M.H.Shaw,Hemipilia nana
Ponerorchis nana (King & Pantl.) Soó,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua,Hemipilia nana (King & Pantl.) J.M.H.Shaw,Hemipilia nana
Gymnadenia chusua var. nana (King & Pantl.) Finet,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua,Hemipilia nana (King & Pantl.) J.M.H.Shaw,Hemipilia nana
Chusua nana (King & Pantl.) Pradhan,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua,Hemipilia nana (King & Pantl.) J.M.H.Shaw,Hemipilia nana
Chusua roborowskyi var. nana (King & Pantl.) P.F.Hunt,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua (D.Don) Y.Tang & H.Peng,Hemipilia chusua,Hemipilia nana (King & Pantl.) J.M.H.Shaw,Hemipilia nana
Dendrobium teretifolium f. aureum (F.M.Bailey) Clemesha,Dendrobium teretifolium var. teretifolium,Dendrobium teretifolium var. teretifolium,Dendrobium teretifolium var. teretifolium,Dendrobium teretifolium,Dendrobium teretifolium var. aureum F.M.Bailey,Dendrobium teretifolium
Sasa albomarginata (Franch. & Sav.) Makino & Shibata,Sasa veitchii var. veitchii,Sasa veitchii var. veitchii,Sasa veitchii var. veitchii,Sasa veitchii,Sasa veitchii (Carrière) Rehder,Sasa veitchii
Arundinaria albomarginata (Franch. & Sav.) Makino,Sasa veitchii var. veitchii,Sasa veitchii var. veitchii,Sasa veitchii var. veitchii,Sasa veitchii,Sasa veitchii (Carrière) Rehder,Sasa veitchii
Phaius tankervilleae var. pulchra (King & Pantl.) Karth.,"Calanthe tankervilleae (Banks) M.W.Chase, Christenh. & Schuit.","Calanthe tankervilleae (Banks) M.W.Chase, Christenh. & Schuit.","Calanthe tankervilleae (Banks) M.W.Chase, Christenh. & Schuit.",Calanthe tankervilleae,Calanthe tankervilleae var. tankervilleae,Calanthe tankervilleae
Dendrobium veratrifolium (Lindl.) Roxb.,"Calanthe tankervilleae (Banks) M.W.Chase, Christenh. & Schuit.","Calanthe tankervilleae (Banks) M.W.Chase, Christenh. & Schuit.","Calanthe tankervilleae (Banks) M.W.Chase, Christenh. & Schuit.",Calanthe tankervilleae,Calanthe tankervilleae var. tankervilleae,Calanthe tankervilleae
Ecbolium poeppigianum (Nees) Kuntze,Justicia poeppigiana (Nees) Lindau,Justicia poeppigiana (Nees) Lindau,Justicia poeppigiana (Nees) Lindau,Justicia poeppigiana,Justicia oriximinensis F.A.Silva & Kameyama,Justicia oriximinensis
Leea sambucina var. sumatrana (Miq.) Miq.,Leea indica (Burm.f.) Merr.,Leea indica (Burm.f.) Merr.,Leea indica (Burm.f.) Merr.,Leea indica,Leea javanica Blume,Leea javanica
Leea sundaica var. fuliginosa (Miq.) Miq.,Leea indica (Burm.f.) Merr.,Leea indica (Burm.f.) Merr.,Leea indica (Burm.f.) Merr.,Leea indica,Leea javanica Blume,Leea javanica
Caprifolium altmannii (Regel & Schmalh.) Kuntze,Lonicera humilis Kar. & Kir.,Lonicera humilis Kar. & Kir.,Lonicera humilis Kar. & Kir.,Lonicera humilis,Lonicera altmannii Regel & Schmalh.,Lonicera altmannii
Lonicera × americana f. rubella (DC.) Rehder,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana,Lonicera × italica Kütz.,Lonicera × italica
Lonicera × americana var. rubella (DC.) Rehder,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana,Lonicera × italica Kütz.,Lonicera × italica
Caprifolium italicum var. rubrum (Weston) Schult.,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana,Lonicera × italica Kütz.,Lonicera × italica
Leea guineensis var. cuspidifera (Baker) Desc.,Leea guineensis G.Don,Leea guineensis G.Don,Leea guineensis G.Don,Leea guineensis,Leea cuspidifera Baker,Leea cuspidifera
Lampranthus globosus L.Bolus,Lampranthus dregeanus (Sond.) N.E.Br.,Lampranthus dregeanus (Sond.) N.E.Br.,Lampranthus dregeanus (Sond.) N.E.Br.,Lampranthus dregeanus,Lampranthus globosus L.Bolus,Lampranthus globosus
Lampranthus blandus (Haw.) Schwantes,Lampranthus multiradiatus (Jacq.) N.E.Br.,Lampranthus multiradiatus (Jacq.) N.E.Br.,Lampranthus multiradiatus (Jacq.) N.E.Br.,Lampranthus multiradiatus,Lampranthus blandus (Haw.) Schwantes,Lampranthus blandus
Lampranthus subaequalis (L.Bolus) L.Bolus,Lampranthus swartbergensis (L.Bolus) N.E.Br.,Lampranthus swartbergensis (L.Bolus) N.E.Br.,Lampranthus swartbergensis (L.Bolus) N.E.Br.,Lampranthus swartbergensis,Lampranthus subaequalis (L.Bolus) L.Bolus,Lampranthus subaequalis
Lampranthus mutans (L.Bolus) N.E.Br.,Lampranthus productus (Haw.) N.E.Br.,Lampranthus productus (Haw.) N.E.Br.,Lampranthus productus (Haw.) N.E.Br.,Lampranthus productus,Lampranthus mutans (L.Bolus) N.E.Br.,Lampranthus mutans
Lonchocarpus benthamianus Pittier,Lonchocarpus punctatus Kunth,Lonchocarpus punctatus Kunth,Lonchocarpus punctatus Kunth,Lonchocarpus punctatus,Lonchocarpus benthamianus Pittier,Lonchocarpus benthamianus
Lupinus microcarpus var. scopulorum (C.P.Sm.) C.P.Sm.,Lupinus densiflorus Benth.,Lupinus densiflorus Benth.,Lupinus microcarpus var. densiflorus (Benth.) Jeps.,Lupinus microcarpus,Lupinus microcarpus var. microcarpus,Lupinus microcarpus
Myosotis drucei (L.B.Moore) de Lange & Barkla,Myosotis antarctica Hook.f.,Myosotis antarctica Hook.f.,Myosotis antarctica Hook.f.,Myosotis antarctica,Myosotis antarctica subsp. antarctica,Myosotis antarctica
Mammillaria mendeliana (Bravo) Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. mendeliana (Bravo) D.R.Hunt,Mammillaria hahniana
Mammillaria hahniana subsp. mendeliana (Bravo) D.R.Hunt,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. mendeliana (Bravo) D.R.Hunt,Mammillaria hahniana
Neomammillaria woodsii (R.T.Craig) Y.Itô,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. woodsii (R.T.Craig) D.R.Hunt,Mammillaria hahniana
Mammillaria hahniana subsp. woodsii (R.T.Craig) D.R.Hunt,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. woodsii (R.T.Craig) D.R.Hunt,Mammillaria hahniana
Neomammillaria hahniana var. werdermanniana (F.Schmoll ex R.T.Craig) Y.Itô,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. hahniana,Mammillaria hahniana
Mammillaria saetigera subsp. woodsii (R.T.Craig) Rogoz. & Plein,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. woodsii (R.T.Craig) D.R.Hunt,Mammillaria hahniana
Mitreola angustifolia (Torr. & A.Gray) J.B.Nelson,Mitreola sessilifolia (J.F.Gmel.) G.Don,Mitreola sessilifolia (J.F.Gmel.) G.Don,Mitreola sessilifolia (J.F.Gmel.) G.Don,Mitreola sessilifolia,Mitreola angustifolia (Torr. & A.Gray) J.B.Nelson,Mitreola angustifolia
Mimosa biuncifera var. flexuosa B.L.Rob.,Mimosa biuncifera Benth.,Mimosa biuncifera Benth.,Mimosa biuncifera Benth.,Mimosa biuncifera,Mimosa warnockii B.L.Turner,Mimosa warnockii
Mimosa warnockii B.L.Turner,Mimosa biuncifera Benth.,Mimosa biuncifera Benth.,Mimosa biuncifera Benth.,Mimosa biuncifera,Mimosa warnockii B.L.Turner,Mimosa warnockii
Arenaria fasciculata subsp. cymifera (Rouy & Foucaud) Bonnier,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
Alsine fasciculata subsp. cymifera (Rouy & Foucaud) Cadevall,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
Minuartia rubra subsp. cymifera (Rouy & Foucaud) P.Monts.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
Arenaria cymifera (Rouy & Foucaud) Bonnier,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
Minuartia glomerata subsp. cymifera (Rouy & Foucaud) Favarger & F.Conti,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
Monteverdia acanthophylla (Reissek) Biral,Maytenus ilicifolia Mart. ex Reissek,Maytenus ilicifolia Mart. ex Reissek,Maytenus ilicifolia Mart. ex Reissek,Maytenus ilicifolia,Maytenus acanthophylla Reissek,Maytenus acanthophylla
Monotropsis reynoldsiae (A.Gray) A.Heller,Monotropsis odorata Schwein.,Monotropsis odorata Schwein.,Monotropsis odorata Schwein.,Monotropsis odorata,Monotropsis reynoldsiae (A.Gray) A.Heller,Monotropsis reynoldsiae
Ononis tridentata subsp. angustifolia (Lange) Devesa & G.López,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,Ononis tridentata subsp. angustifolia (Lange) Devesa & G.López,Ononis tridentata
Ononis tridentata f. intricata (Willk.) Lange,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,"Ononis tridentata subsp. barrelieri (Dufour) Pérez Dacosta, Uribe-Ech. & Urrutia",Ononis tridentata
Ononis tridentata var. angustifolia (Lange) Nyman,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,Ononis tridentata subsp. angustifolia (Lange) Devesa & G.López,Ononis tridentata
Ononis tridentata subsp. crassifolia (L.M.Dufour ex Boiss.) Nyman,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,Ononis tridentata subsp. tridentata,Ononis tridentata
"Ononis tridentata subsp. barrelieri (Dufour) Pérez Dacosta, Uribe-Ech. & Urrutia",Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,"Ononis tridentata subsp. barrelieri (Dufour) Pérez Dacosta, Uribe-Ech. & Urrutia",Ononis tridentata
Ononis tridentata var. erecta (Lange) Willk.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,"Ononis tridentata subsp. barrelieri (Dufour) Pérez Dacosta, Uribe-Ech. & Urrutia",Ononis tridentata
Ononis tridentata var. intricata (Willk.) Willk.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,"Ononis tridentata subsp. barrelieri (Dufour) Pérez Dacosta, Uribe-Ech. & Urrutia",Ononis tridentata
Opuntia comonduensis (J.M.Coult.) Britton & Rose,Opuntia tapona Engelm. ex J.M.Coult.,Opuntia tapona Engelm. ex J.M.Coult.,Opuntia tapona Engelm. ex J.M.Coult.,Opuntia tapona,Opuntia comonduensis (J.M.Coult.) Britton & Rose,Opuntia comonduensis
Oxalis boreaui P.Fourn.,Oxalis corniculata L.,Oxalis corniculata L.,Oxalis corniculata L.,Oxalis corniculata,Oxalis dillenii Jacq.,Oxalis dillenii
Pleurospermum longicarpum R.H.Shan & Z.H.Pan,Pterocyclus rotundatus (DC.) Pimenov & Kljuykov,Pterocyclus rotundatus (DC.) Pimenov & Kljuykov,Pterocyclus rotundatus (DC.) Pimenov & Kljuykov,Pterocyclus rotundatus,Pterocyclus wolffianus Fedde ex H.Wolff,Pterocyclus wolffianus
Petalidium ovatum (Schinz) C.B.Clarke,Petalidium englerianum (Schinz) C.B.Clarke,Petalidium englerianum (Schinz) C.B.Clarke,Petalidium englerianum (Schinz) C.B.Clarke,Petalidium englerianum,Petalidium ovatum (Schinz) C.B.Clarke,Petalidium ovatum
Gypsophila velutina (Guss.) D.Dietr.,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
Tunica velutina (Guss.) Fisch. & C.A.Mey.,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
Tunica prolifera subsp. velutina (Guss.) Briq.,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
Petrorhagia velutina (Guss.) P.W.Ball & Heywood,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
Tunica prolifera var. velutina (Guss.) Ewart,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
Dianthus prolifer subsp. velutinus (Guss.) Batt.,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
Tunica prolifera proles velutina (Guss.) Rouy & Foucaud,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
Petrorhagia prolifera subsp. velutina (Guss.) O.Bolòs & Vigo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
Kohlrauschia velutina (Guss.) Rchb.,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
